,id,city,ctripName,stars,strategymedal,goldmedal,silvermedal,price
1376,1596500,深圳,7天连锁酒店(深圳平湖华南城店),0,0,1,0,169
1377,1596506,深圳,7天连锁酒店(深圳西乡店),0,0,1,0,177
1378,1596510,深圳,7天连锁酒店(深圳龙华汽车站店),0,0,1,0,148
1379,1596518,深圳,7天连锁酒店(深圳宝安店),0,0,1,0,80
1380,1596680,北京,7天连锁酒店(北京良乡长阳环岛店),0,0,1,0,177
1381,1596912,深圳,7天连锁酒店(深圳步行街老街地铁站二店),0,0,1,0,198
1382,1596955,深圳,7天连锁酒店(深圳国贸二店),0,0,1,0,232
1383,1596966,深圳,7天连锁酒店(深圳国贸商务中心店),0,0,1,0,222
1384,1596980,深圳,汉庭优佳酒店(深圳福永万福广场店)(原常尚酒店),0,0,1,0,194
1385,1596999,深圳,7天连锁酒店(深圳东门中心店),0,0,1,0,210
1386,1597002,深圳,7天连锁酒店(深圳南油店),0,0,1,0,263
1387,1597104,深圳,7天连锁酒店(深圳上梅林地铁站店),0,0,1,0,304
1388,1597138,深圳,7天连锁酒店(深圳水贝珠宝城店),0,0,1,0,178
1389,1597708,杭州,浙江潮王大酒店,3,0,1,0,174
1390,1598159,深圳,深圳尚云天酒店,0,0,1,0,171
1391,1598480,深圳,7天连锁酒店(深圳华强南店),0,0,1,0,284
1392,1598489,深圳,7天连锁酒店(深圳科技园二店),0,0,1,0,274
1393,1598492,深圳,7天连锁酒店(深圳大学学府路店),0,0,1,0,242
1394,1598496,深圳,7天连锁酒店(深圳华强北燕南地铁站店),0,0,1,0,273
1395,1598507,深圳,7天连锁酒店(深圳华强路地铁站福华店)(福华路店),0,0,1,0,284
1396,1598524,深圳,7天连锁酒店(深圳科学馆地铁站店),0,0,1,0,229
1397,1599951,深圳,7天连锁酒店(深圳火车站店),0,0,1,0,273
1398,1599973,深圳,7天连锁酒店(深圳京基100红岭地铁站店),0,0,1,0,279
1399,1599997,深圳,7天连锁酒店(深圳火车站罗湖地铁站店),0,0,1,0,251
1400,1600148,深圳,维也纳酒店(深圳石岩汽车站店),0,0,1,0,228
1401,1600188,深圳,维雅丽酒店(深圳火车站春风路店),0,0,1,0,288
1402,1600243,深圳,7天连锁酒店(深圳福田口岸地铁站店),0,0,1,0,378
1403,1601058,成都,成都大源丽景酒店,0,0,1,0,132
1404,1601597,三亚,三亚太阳湾柏悦酒店,0,0,1,0,1870
1405,1602923,深圳,7天连锁酒店(深圳龙华民治大道万众城店),0,0,1,0,230
1406,1603167,深圳,彩悦酒店(深圳北站店),0,1,0,0,353
1407,1603178,深圳,7天连锁酒店(深圳北站店),0,0,1,0,272
1408,1603215,深圳,7天连锁酒店(深圳坂田华为基地店),0,0,1,0,188
1409,1603221,深圳,7天连锁酒店(深圳坂田五和地铁站华为店),0,0,1,0,211
1410,1604197,北京,北京欣得精品设计酒店,0,0,1,0,2789
1411,1604380,杭州,杭州晓园往事客栈,0,0,1,0,72
1412,1604436,南京,莫泰168(南京夫子庙地铁站平江府路店),0,0,1,0,335
1413,1606371,杭州,清蝉酒店(杭州西湖店),0,0,1,0,380
1414,1606693,厦门,宫保第酒店(厦门鼓浪屿鹿礁路5号店),0,0,1,0,102
1415,1606947,厦门,厦门艺墅家精品民宿,0,0,1,0,269
1416,1607190,青岛,青岛气象度假村,3,0,1,0,273
1417,1607610,杭州,杭州威斯希顿大酒店,0,1,0,0,269
1418,1609506,深圳,深圳温德姆至尊酒店,0,0,1,0,975
1419,1609664,北京,北京塔里木石油酒店,3,1,0,0,388
1420,1610327,青岛,汉庭酒店(青岛台东威海路店)(原台东啤酒街店),0,0,1,0,116
1421,1610334,青岛,日式精品酒店（青岛永日香店）,0,0,1,0,52
1422,1610378,广州,迎商酒店(广州景泰步行街店),0,0,1,0,198
1423,1612844,深圳,深圳海之友酒店,0,0,1,0,139
1424,1613365,上海,来来大酒店(上海复旦大学附属儿科医院店),0,1,0,0,409
1425,1619265,南京,南京港际大酒店(夫子庙店),0,0,1,0,238
1426,1619339,广州,广州淘金宾馆,0,0,1,0,100
1427,1619578,成都,成都美程驿栈酒店,0,1,0,0,319
1428,1619766,成都,成都普罗斯泰酒店,0,0,1,0,262
1429,1619779,成都,怡家名人首座酒店(成都温江大学城店),0,1,0,0,308
1430,1620614,成都,都江堰青城山红源客栈,0,0,1,0,107
1431,1622545,上海,吉泰连锁酒店(上海新天地店),0,0,1,0,209
1432,1622576,上海,伊思顿商务酒店(上海同济大学店),0,0,1,0,194
1433,1623231,广州,7天连锁酒店(广州白云国际机场店),0,0,1,0,168
1434,1624306,广州,广州壹加壹商务酒店,0,0,1,0,207
1435,1624624,上海,上海繁华酒店,0,0,1,0,159
1436,1625745,上海,伊侬美寓酒店(上海新天地店),0,0,1,0,411
1437,1629871,杭州,杭州宾悦商务酒店,0,0,1,0,174
1438,1630754,杭州,浙江大学圆正·艮秋宾馆,0,0,1,0,200
1439,1630856,杭州,奢野一宅 (杭州灵隐寺店),0,0,1,0,960
1440,1632876,南京,桔子水晶酒店(南京新街口店),0,1,0,0,522
1441,1633091,南京,南京约翰花园大酒店,4,0,1,0,310
1442,1635101,上海,派柏·云酒店(上海浦东机场川沙地铁站店),0,0,1,0,104
1443,1640009,杭州,锦江之星品尚(杭州西湖定安路地铁站南宋御街店),0,0,1,0,235
1444,1640426,杭州,7天连锁酒店(杭州西湖湖滨店),0,0,1,0,189
1445,1640496,杭州,锦江之星(杭州凯旋路店),0,0,1,0,214
1446,1640581,杭州,7天连锁酒店(杭州西湖解百商厦店),0,0,1,0,189
1447,1640619,杭州,索特来文艺酒店(杭州西湖解放路店),0,0,0,1,278
1448,1640892,北京,派酒店(北京沙河地铁站店)(原艺鸣腾宾馆),0,0,1,0,252
